"ask, pray",be/bedja,ber/beder,bad,bett,be
bury,begrava,begraver,begravde/begrov,begravt,begrav
decide,besluta,beslutar,beslutade/beslöt,beslutat/beslutit,besluta
pay,betala,betalar,betalade,betalat/betalt,betala
bind,binda,binder,band,bundit,bind
bite,bita,biter,bet,bitit,bit
"offer, bid",bjuda,bjuder,bjöd,bjudit,bjud
become,bli/bliva,blir/bliver,blev,blivit,bli/bliv
bring,bringa,bringar,bringade/bragte,bringat/bragt,bringa
burn,brinna,brinner,brann,brunnit,brinn
"burst, snap",brista,brister,brast,brustit,brist
break,bryta,bryter,bröt,brutit,bryt
bear,bära,bär,bar,burit,bär
"tumble, fall, drop",dimpa,dimper,damp,dumpit/dimpt,dimp
"draw, drag, pull",dra/draga,drar/drager,drog,dragit,dra/drag
drink,dricka,dricker,drack,druckit,drick
"propel, drive",driva,driver,drev,drivit,driv
drip,drypa,dryper,dröp,drupit/drypt,dryp
"be adequate, be suitable",duga,duger,dög,dugt,dug
"dwell, reside",dväljas,dväljs/dväljes,dvaldes/dväljdes,dvalts/dväljts,dväljs
dive,dyka,dyker,dök/dykte,dykt,dyk
die,dö,dör,dog,dött,dö
fall,falla,faller,föll,fallit,fall
"move, travel",fara,far,for,farit,far
find,finna,finner,fann,funnit,finn
exist,finnas,finns,fanns,funnits,""
fart,fisa,fiser,fes,fisit,fis
fly,flyga,flyger,flög,flugit,flyg
float,flyta,flyter,flöt,flutit,flyt
"snort, frown",fnysa,fnyser,fnös/fnyste,fnyst,fnys
freeze,frysa,fryser,frös,frusit,frys
get,få,får,fick,fått,få
forget (archaic),förgäta,förgäter,(förgat),förgätit,förgät
"sense, perceive",förnimma,förnimmer,förnam,förnummit,förnim
disappear,försvinna,försvinner,försvann,försvunnit,försvinn
"tell, narrate (archaic)",förtälja,förtäljer,förtäljde/förtalde,förtäljt/förtalt,försvinn
crow,gala,gal,gol,galit/galt,gal
give,ge/giva,ger/giver,gav,gett/givit,ge
cast,gjuta,gjuter,göt,gjutit,gjut
"glide, slide",glida,glider,gled,glidit,glid
"scrape, rub",gnida,gnider,gned,gnidit,gnid
grip,gripa,griper,grep,gripit,grip
cry,gråta,gråter,grät,gråtit,gråt
"go, walk",gå,går,gick,gått,gå
do,göra,gör,gjorde,gjort,gör
have,ha/hava,har/haver,hade,haft,ha/hav
be called,heta,heter,hette,hetat,(het)
make in time,hinna,hinner,hann,hunnit,hinn
"chop, slash",hugga,hugger,högg,huggit,hugg
hold,hålla,håller,höll,hållit,håll
"sound, chime",klinga,klingar,klingade/klang,klingat/klungit,klinga
"stride, climb",kliva,kliver,klev,klivit,kliv
"split, divide",klyva,klyver,klöv,kluvit/klyvt,klyv
pinch,knipa,kniper,knep,knipit,knip
tie,knyta,knyter,knöt,knutit,knyt
come,komma,kommer,kom,kommit,kom
crawl,krypa,kryper,kröp,krupit,kryp
"know, be able to",kunna,kan,kunde,kunnat,""
whine,kvida,kvider,kved,kvidit,kvid
"chant, sing, speak in verse",kväda,kväder,kvad/kvädde,kvädit,kväd
smile,le,ler,log,lett,le
suffer,lida,lider,led,lidit,lid
lie (be at rest),ligga,ligger,låg,legat,ligg
lie (tell untruths),ljuga,ljuger,ljög,ljugit,ljug
sound,ljuda,ljuder,ljöd,ljudit,ljud
"suffer, undergo (death)",ljuta,ljuter,ljöt,ljutit,ljut
obey,lyda,lyder,löd/lydde,lydit/lytt,lyd
listen (archaic),lyss,lyss,lyddes,(lytts),lyss
let,låta,låter,lät,låtit,låt
be said to,"",lär,"","",""
run,löpa,löper,löpte/lopp,löpt/lupit,löp
"mill, grind",mala,mal/maler,malde,malt,mal
enjoy oneself,mysa,myser,myste/mös,myst,mys
"may, can (archaic)","",månde (subjunctive mood),"","",""
must,(måsta),måste,måste,(måst),""
curtsey,niga,niger,neg,nigit,nig
"enjoy, take pleasure in",njuta,njuter,njöt,njutit,njut
pinch,nypa,nyper,nöp,nypt,nyp
sneeze,nysa,nyser,nös/nyste,nysit/nyst,nys
"beep, squeak",pipa,piper,pep,pipit,pip
ride,rida,rider,red,ridit,rid
"run, flow",rinna,rinner,rann,runnit,rinn
scratch hard,riva,river,rev,rivit,riv
smoke,ryka,ryker,rykte/rök,rykt,ryk
shiver,rysa,ryser,ryste/rös,ryst,rys
roar,ryta,ryter,röt,rutit,ryt
see,se,ser,såg,sett,se
swim,simma,simmar,simmade/sam,simmat/summit,simma/sim
sit,sitta,sitter,satt,suttit,sitt
sing,sjunga,sjunger,sjöng,sjungit,sjung
"boil, seethe, simmer",sjuda,sjuder,sjöd,sjudit,sjud
sink,sjunka,sjunker,sjönk,sjunkit,sjunk
shine,skina,skiner,sken,skinit,skin
shit,skita,skiter,sket,skitit,skit
